#,Name,channel_name,total_subscribers,total_views,total_videos,
1,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds,33600000,11011230785,1591, 
2,DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw,DanTDM,28600000,19775951435,3705,
3,KSI @UCVtFOytbRpEvzLjvqGG5gxQ,KSI,24100000,6015064768,1252,
4,Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg,Mister Max,24400000,15973601417,1136,
5,Jelly @UC0DZmkupLYwc0yDsfocLh0A,Jelly,23500000,15032515044,6331,
6,Miss Katy @UCcartHVtvAUzfajflyeT_Gg,Miss Katy,24500000,15462895287,1079,
7,Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa,23300000,12792401018,222,
8,Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA,Dan Rhodes,26500000,18558843557,1664,
9,Ali-A @UCYVinkwSX7szARULgYpvhLw,Ali-A,18900000,6454576924,4303,
10,Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ,Gaby and Alex,17200000,8599791929,367,
11,Sidemen @UCDogdKl7t7NHzQ95aEwkdMw,Sidemen,21000000,6051069699,349,
12,Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ,Queen Official,17500000,11172793107,1137,
13,Little Mix @UCIvqWqjC4aLvp7zI8hzARrA,Little Mix,16300000,7760494530,278,
14,JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw,JJ Olatunji,16300000,4235096703,1339,
15,F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g,F2Freestylers - Ultimate Soccer Skills Channel,14100000,3338277500,779,
16,BBC News @UC16niRr50-MSBwiO3YDb3RA,BBC News,15800000,5219037615,21145,
17,BBC @UCCj956IF62FbT7Gouszaj9w,BBC,14100000,10345796779,18714,
18,Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA,Awakening Music,14000000,5895370212,923,
19,DisneyChannelUK @UCLeuoGy_hUDTBf5Hk0ynrpQ,DisneyChannelUK,12900000,13239805858,4517,
20,colinfurze @UCp68_FLety0O-n9QU6phsgw,colinfurze,12900000,1737850096,397,
21,Mrwhosetheboss @UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,18300000,5224911221,1673,
22,TommyInnit @UC5p_l5ZeB_wGjO_yDXwiqvw,TommyInnit,14800000,2349069050,463,
23,Morgz @UCBwSufNse8VMBvQM_rCSvgQ,Morgz,12800000,3527357846,846,
24,Tiana @UC6sSkkemzPjmrzS0Y0V_2zw,Tiana,11400000,3241315094,1034,
25,DisneyJuniorUK @UC7Gf2tZ8coTX2ckTPgn62iQ,Disney Kids,11900000,12280388976,2871,
26,Emily Tube @UC-0D1RlSzcvBoODCKSoLl2g,Emily Tube,11100000,3827432341,734,
27,Slogo @UCHdMK5Ef2El8KbD3L_WgANg,Slogo,11600000,8851893106,6270,
28,Jessie J @UC4pEp0mo54WhEBCTYvjVDJA,Jessie J,10600000,5738170096,96,
29,Sing King @UCwTRjvjVge51X-ILJ4i22ew,Sing King,11800000,7678054660,4272,
30,BBC News عربي @UCelk6aHijZq-GJBBB9YpReA,BBC News عربي,11500000,4858222538,40179,
31,Classic Mr Bean @UCEwIUtFBhaI2L2PuKv0KL2g,Classic Mr Bean,10400000,3389019245,1680,
32,Syndicate @UC1ieoHqKW-yYgDhLHIcx28w,Syndicate,9620000,2133109238,3530,
33,Gorillaz @UCfIXdjDQH9Fau7y99_Orpjw,Gorillaz,10800000,5694818370,363,
34,Woody & Kleiny @UCoGForHQAmk0_9rI9CABeYw,Woody & Kleiny,15400000,14098827274,1086,
35,Jungle Beat @UChUHOEe7zgYmrv7a_LlpNng,Jungle Beat,11400000,5720253944,789,
36,Julius Dein @UCCNaMMlI3cOc7yFg52riTqg,Julius Dein,9270000,2451490753,385,
37,The X Factor UK @UCEY1ejsweY4DgMwOVJeEaBA,The X Factor UK,9170000,6991097254,5494,
38,English with Lucy @UCz4tgANd4yy8Oe0iXCdSWfA,English with Lucy,10800000,490426319,400,
39,Shaun the Sheep @UCS7H8U-n5mINVJjJsaRtGHg,Shaun the Sheep Official,11800000,6270218465,834,
40,Cartoons for Kids @UC977n5nXRn8MDuGQjwxkOLw,Cartoons for Kids,8980000,3389711424,2470,
41,Mumbo Jumbo @UChFur_NwVSbUozOcF_F2kMg,Mumbo Jumbo,9360000,3039992057,2070,
42,Top Gear @UCjOl2AUblVmg2rA_cRgZkFg,Top Gear,8900000,3965481581,1849,
43,Moonbug Kids - Kids Learning Videos @UC1QqdFv5e9QSEi0eYdfwuqw,Moonbug Kids - Kids Learning Videos,10900000,4173418733,1430,
44,BBC Radio 1 @UC-FQUIVQ-bZiefzBiQAa8Fw,BBC Radio 1,8240000,3704564707,4852,
45,Liverpool FC @UC9LQwHZoucFT94I2h6JOcjw,Liverpool FC,9700000,2681894913,6316,
46,Grian @UCR9Gcq0CMm6YgTzsDxAxjOQ,Grian,8490000,2435603159,751,
47,Daz Games @UCDBCCMlFD-hArPbWv38FINA,Daz Games,8530000,2672413657,1557,
48,Vikkstar123 @UCvwgF_0NOZe2vN4Q3g1bY-A,Vikkstar123,7610000,2158203758,5038,
49,PlayToys @UCHFA6Nt11kE_8OWIya0SQDQ,PlayToys,7790000,3050738424,1030,
50,carwow @UCUhFaUpnq31m6TNX2VKVSVA,carwow,9110000,3805071140,2606,
51,Jeremy Lynch @UC5Y1pPVNm-odhiubuRO1D6A,Jeremy Lynch,11500000,6179524394,752,
52,TomSka @UCOYWgypDktXdb-HfZnSMK6A,TomSka,7280000,2075452515,177,
53,YOGSCAST Lewis & Simon @UCH-_hzb2ILSCo9ftVSnrCIQ,The Yogscast,7080000,4564618612,6435,
54,LDShadowLady @UCzTlXb7ivVzuFlugVCv3Kvg,LDShadowLady,7150000,3418445524,1072,
55,The Beatles @UCc4K7bAqpdBP8jh1j9XZAww,The Beatles,8200000,6813253792,311,
